Nomor laporan,Kategori,Lat,Lng,Kelurahan,Kecamatan,Kota,Provinsi,Day
1066726,Kaki Lima Liar,-6.162216,106.843674,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
1066727,Kaki Lima Liar,-6.162224,106.843491,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
1066728,Kaki Lima Liar,-6.162225,106.84346,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
1066729,Kaki Lima Liar,-6.162203,106.843323,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
1066733,Kaki Lima Liar,-6.162314,106.843353,Kemayoran,Kemayoran,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
1066907,Kaki Lima Liar,-6.194705,106.81987,Kebon Kacang,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Monday
1067167,Kaki Lima Liar,-6.163348,106.83287,Pasar Baru,Sawah Besar,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1067466,Kaki Lima Liar,-6.194692,106.820023,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
1068730,Kaki Lima Liar,-6.184985,106.825111,Kebon Sirih,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1068875,Kaki Lima Liar,-6.18733,106.817139,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1069065,Kaki Lima Liar,-6.19391,106.821259,Gondangdia,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1069143,Kaki Lima Liar,-6.184793,106.811142,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday
1069277,Kaki Lima Liar,-6.188443,106.812691,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday
1069360,Kaki Lima Liar,-6.170255,106.803932,Cideng,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday
1071200,Kaki Lima Liar,-6.169219,106.870705,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
1071203,Kaki Lima Liar,-6.169754,106.870995,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
1071642,Kaki Lima Liar,-6.140083,106.822548,Mangga Dua Selatan,Sawah Besar,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Thursday
1071643,Kaki Lima Liar,-6.139723,106.822464,Mangga Dua Selatan,Sawah Besar,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Thursday
1072086,Kaki Lima Liar,-6.187367,106.825882,Gondangdia,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1072101,Kaki Lima Liar,-6.205778,106.816628,Karet Tengsin,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Friday
1072638,Kaki Lima Liar,-6.217346,106.798172,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Saturday
1072867,Kaki Lima Liar,-6.168148,106.830383,Pasar Baru,Sawah Besar,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Sunday
1073064,Kaki Lima Liar,-6.167683,106.828514,Kebon Kelapa,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Sunday
1073822,Kaki Lima Liar,-6.187238,106.825867,Gondangdia,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Tuesday
1074327,Kaki Lima Liar,-6.187054,106.875221,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
1074449,Kaki Lima Liar,-6.21632,106.815971,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA,Wednesday
